gene_or_locus,evidence_role,effect_size_status,sentence_count,unique_pmids,earliest_year,latest_year,species_context,direct_perturbation_or_mapping,breeding_context,mechanism_themes,representative_pmids
OsMKK3,功能验证的宿主调控/执行因子,原句含效应量/主微效描述，需回到原文核验,23,1,2019,2019,BPH,yes,yes,韧皮部取食界面与结构防御;激素、氧化还原与信号调控;次生代谢与挥发性防御;宿主免疫、肽信号与昆虫效应子;生长防御权衡与农艺环境,31226870
OsmiR396-OsGRF8-OsF3H-flavonoid,功能验证的宿主调控/执行因子,原句含效应量/主微效描述，需回到原文核验,22,1,2019,2019,BPH,yes,yes,遗传定位、克隆与抗源部署;次生代谢与挥发性防御;生长防御权衡与农艺环境,30734457
OsmiR159,功能验证的宿主调控/执行因子,原句含效应量/主微效描述，需回到原文核验,20,1,2023,2023,BPH,yes,yes,遗传定位、克隆与抗源部署;韧皮部取食界面与结构防御;激素、氧化还原与信号调控;次生代谢与挥发性防御;宿主免疫、肽信号与昆虫效应子;生长防御权衡与农艺环境,37402009
OsmiR319-OsPCF5,功能验证的宿主调控/执行因子,原句含效应量/主微效描述，需回到原文核验,18,1,2024,2024,BPH,yes,yes,遗传定位、克隆与抗源部署;韧皮部取食界面与结构防御;激素、氧化还原与信号调控;次生代谢与挥发性防御;宿主免疫、肽信号与昆虫效应子;生长防御权衡与农艺环境,38520013
OsRCI-1-Mediated,功能验证的宿主调控/执行因子,原句含效应量/主微效描述，需回到原文核验,17,1,2024,2024,BPH;WBPH,yes,yes,激素、氧化还原与信号调控;次生代谢与挥发性防御;生长防御权衡与农艺环境,38891303
OsNCED3-OE,功能验证的宿主调控/执行因子,原句含效应量/主微效描述，需回到原文核验,16,1,2024,2024,BPH,yes,not explicit,遗传定位、克隆与抗源部署;激素、氧化还原与信号调控;次生代谢与挥发性防御;生长防御权衡与农艺环境,38988632
Os6PGDH1,功能验证的宿主调控/执行因子,原句含效应量/主微效描述，需回到原文核验,15,1,2020,2020,BPH,yes,yes,遗传定位、克隆与抗源部署;激素、氧化还原与信号调控;宿主免疫、肽信号与昆虫效应子;生长防御权衡与农艺环境,33182659
OsRCI-1,功能验证的宿主调控/执行因子,未报告/不可由文献频次推断,13,1,2024,2024,BPH,yes,not explicit,激素、氧化还原与信号调控;次生代谢与挥发性防御,38891303
OsClpP6,功能验证的宿主调控/执行因子,原句含效应量/主微效描述，需回到原文核验,13,1,2024,2024,BPH,yes,yes,遗传定位、克隆与抗源部署;激素、氧化还原与信号调控;次生代谢与挥发性防御;生长防御权衡与农艺环境,38612510
OsRLK7-1,功能验证的宿主调控/执行因子,原句含效应量/主微效描述，需回到原文核验,13,1,2023,2023,BPH;WBPH,yes,yes,激素、氧化还原与信号调控;宿主免疫、肽信号与昆虫效应子;生长防御权衡与农艺环境,37834016
OsPep3,功能验证的宿主调控/执行因子,未报告/不可由文献频次推断,13,1,2022,2022,BPH,yes,not explicit,激素、氧化还原与信号调控;次生代谢与挥发性防御;宿主免疫、肽信号与昆虫效应子,35068048
OsGF14e,功能验证的宿主调控/执行因子,未报告/不可由文献频次推断,12,1,2025,2025,BPH,yes,yes,遗传定位、克隆与抗源部署;宿主免疫、肽信号与昆虫效应子;生长防御权衡与农艺环境,39853648
OsATL15,功能验证的宿主调控/执行因子,原句含效应量/主微效描述，需回到原文核验,12,1,2022,2022,BPH,yes,yes,韧皮部取食界面与结构防御;病毒-媒介-水稻三方互作,35678495
OsI-BAK1,功能验证的宿主调控/执行因子,原句含效应量/主微效描述，需回到原文核验,11,1,2021,2021,BPH;WBPH,yes,yes,激素、氧化还原与信号调控;次生代谢与挥发性防御;宿主免疫、肽信号与昆虫效应子;生长防御权衡与农艺环境,34830062
OsCslF6,功能验证的宿主调控/执行因子,未报告/不可由文献频次推断,9,1,2023,2023,BPH,yes,yes,韧皮部取食界面与结构防御;激素、氧化还原与信号调控;宿主免疫、肽信号与昆虫效应子,36952539
OsTPS19,功能验证的宿主调控/执行因子,未报告/不可由文献频次推断,9,1,2024,2024,BPH,yes,yes,次生代谢与挥发性防御;生长防御权衡与农艺环境,39340817
OsTPS20,功能验证的宿主调控/执行因子,未报告/不可由文献频次推断,8,1,2024,2024,BPH,yes,yes,次生代谢与挥发性防御;生长防御权衡与农艺环境,39340817
OsmiR319,功能验证的宿主调控/执行因子,未报告/不可由文献频次推断,7,1,2024,2024,BPH,yes,yes,次生代谢与挥发性防御;生长防御权衡与农艺环境,38520013
OsHLH61-OsbHLH96,功能验证的宿主调控/执行因子,未报告/不可由文献频次推断,7,1,2019,2019,BPH,yes,yes,激素、氧化还原与信号调控;生长防御权衡与农艺环境,30796564
OsRRK1,功能验证的宿主调控/执行因子,未报告/不可由文献频次推断,7,1,2017,2017,BPH,yes,yes,激素、氧化还原与信号调控;宿主免疫、肽信号与昆虫效应子,29114253
OsPEPRs,功能验证的宿主调控/执行因子,未报告/不可由文献频次推断,5,1,2022,2022,BPH,yes,not explicit,宿主免疫、肽信号与昆虫效应子,35068048
OsPep3-induced,功能验证的宿主调控/执行因子,未报告/不可由文献频次推断,4,1,2022,2022,BPH,yes,not explicit,激素、氧化还原与信号调控;次生代谢与挥发性防御;宿主免疫、肽信号与昆虫效应子,35068048
OsGID1-mediated,功能验证的宿主调控/执行因子,未报告/不可由文献频次推断,4,1,2018,2018,BPH,yes,yes,遗传定位、克隆与抗源部署;激素、氧化还原与信号调控;宿主免疫、肽信号与昆虫效应子,30217023
OslecRK,功能验证的宿主调控/执行因子,未报告/不可由文献频次推断,4,1,2013,2013,BPH,yes,not explicit,遗传定位、克隆与抗源部署;激素、氧化还原与信号调控;宿主免疫、肽信号与昆虫效应子,24033867
OsWRKY36,功能验证的宿主调控/执行因子,未报告/不可由文献频次推断,3,1,2025,2025,BPH;SBPH;WBPH,yes,yes,生长防御权衡与农艺环境,40042898
OsMIR319a,功能验证的宿主调控/执行因子,原句含效应量/主微效描述，需回到原文核验,3,1,2024,2024,BPH,yes,yes,遗传定位、克隆与抗源部署;生长防御权衡与农艺环境,38520013
OsMIR319b,功能验证的宿主调控/执行因子,原句含效应量/主微效描述，需回到原文核验,3,1,2024,2024,BPH,yes,yes,遗传定位、克隆与抗源部署;生长防御权衡与农艺环境,38520013
OsDREB1A,功能验证的宿主调控/执行因子,未报告/不可由文献频次推断,3,1,2023,2023,BPH,yes,not explicit,韧皮部取食界面与结构防御;激素、氧化还原与信号调控,36788431
OsWRKY36-KO,功能验证的宿主调控/执行因子,未报告/不可由文献频次推断,2,1,2025,2025,BPH,yes,yes,生长防御权衡与农艺环境,40042898
OsClpP6-mediated,功能验证的宿主调控/执行因子,未报告/不可由文献频次推断,2,1,2024,2024,BPH,yes,yes,激素、氧化还原与信号调控;生长防御权衡与农艺环境,38612510
OsPGI1c,功能验证的宿主调控/执行因子,未报告/不可由文献频次推断,2,1,2024,2024,BPH,yes,not explicit,遗传定位、克隆与抗源部署;韧皮部取食界面与结构防御,39796027
OsMYB22,功能验证的宿主调控/执行因子,未报告/不可由文献频次推断,2,1,2024,2024,BPH,not explicit,yes,次生代谢与挥发性防御;生长防御权衡与农艺环境,38520013
OsmiR319b,功能验证的宿主调控/执行因子,原句含效应量/主微效描述，需回到原文核验,2,1,2024,2024,BPH,yes,yes,遗传定位、克隆与抗源部署;生长防御权衡与农艺环境,38520013
OsPOX8.1,功能验证的宿主调控/执行因子,未报告/不可由文献频次推断,2,1,2023,2023,BPH,yes,yes,遗传定位、克隆与抗源部署,37615020
OsExo70H3,功能验证的宿主调控/执行因子,未报告/不可由文献频次推断,2,1,2022,2022,BPH,yes,not explicit,韧皮部取食界面与结构防御,35119102
Oscht4,功能验证的宿主调控/执行因子,未报告/不可由文献频次推断,2,1,2022,2022,BPH,yes,not explicit,韧皮部取食界面与结构防御,36064309
Oscht5,功能验证的宿主调控/执行因子,未报告/不可由文献频次推断,2,1,2022,2022,BPH,yes,not explicit,韧皮部取食界面与结构防御,36064309
OsCKXs,功能验证的宿主调控/执行因子,未报告/不可由文献频次推断,2,1,2022,2022,BPH,yes,not explicit,激素、氧化还原与信号调控,35682620
OsPEPR1,功能验证的宿主调控/执行因子,未报告/不可由文献频次推断,2,1,2022,2022,BPH,yes,not explicit,宿主免疫、肽信号与昆虫效应子,35068048
OsPEPR2,功能验证的宿主调控/执行因子,未报告/不可由文献频次推断,2,1,2022,2022,BPH,yes,not explicit,宿主免疫、肽信号与昆虫效应子,35068048
OsMADS56,功能验证的宿主调控/执行因子,未报告/不可由文献频次推断,2,1,2016,2016,BPH,yes,not explicit,,27025496
OsWRKY36-OE,功能验证的宿主调控/执行因子,未报告/不可由文献频次推断,1,1,2025,2025,BPH,yes,yes,生长防御权衡与农艺环境,40042898
OsWRKY36-overexpressing,功能验证的宿主调控/执行因子,未报告/不可由文献频次推断,1,1,2025,2025,BPH,yes,yes,生长防御权衡与农艺环境,40042898
OsEDR1l,功能验证的宿主调控/执行因子,未报告/不可由文献频次推断,1,1,2025,2025,BPH,yes,yes,宿主免疫、肽信号与昆虫效应子;生长防御权衡与农艺环境,39853648
OsMYB1,功能验证的宿主调控/执行因子,未报告/不可由文献频次推断,1,1,2024,2024,BPH,yes,not explicit,,39724382
OsSPL14,功能验证的宿主调控/执行因子,未报告/不可由文献频次推断,1,1,2024,2024,BPH,yes,not explicit,,39724382
Os03g0411500,功能验证的宿主调控/执行因子,原句含效应量/主微效描述，需回到原文核验,1,1,2024,2024,BPH,yes,yes,生长防御权衡与农艺环境,38612510
OsmiR319a,功能验证的宿主调控/执行因子,原句含效应量/主微效描述，需回到原文核验,1,1,2024,2024,BPH,yes,yes,遗传定位、克隆与抗源部署;生长防御权衡与农艺环境,38520013
OsRCI-1-overexpressed,功能验证的宿主调控/执行因子,未报告/不可由文献频次推断,1,1,2024,2024,BPH,yes,not explicit,次生代谢与挥发性防御,38891303
Osrlck185,功能验证的宿主调控/执行因子,原句含效应量/主微效描述，需回到原文核验,1,1,2023,2023,BPH,yes,yes,,37316670
OsLecRK1-HA,功能验证的宿主调控/执行因子,未报告/不可由文献频次推断,1,1,2023,2023,BPH,yes,not explicit,激素、氧化还原与信号调控,36952539
Osa-miR162a-m1,功能验证的宿主调控/执行因子,未报告/不可由文献频次推断,1,1,2023,2023,BPH,yes,not explicit,,38078088
OsOPR7,功能验证的宿主调控/执行因子,未报告/不可由文献频次推断,1,1,2023,2023,BPH,yes,not explicit,激素、氧化还原与信号调控,37834016
OsRLK7-1-knockout,功能验证的宿主调控/执行因子,未报告/不可由文献频次推断,1,1,2023,2023,BPH,yes,yes,生长防御权衡与农艺环境,37834016
OsCYP71,功能验证的宿主调控/执行因子,未报告/不可由文献频次推断,1,1,2023,2023,BPH,yes,yes,韧皮部取食界面与结构防御;生长防御权衡与农艺环境,37687282
OsCYP71P6,功能验证的宿主调控/执行因子,未报告/不可由文献频次推断,1,1,2023,2023,BPH,yes,yes,韧皮部取食界面与结构防御;生长防御权衡与农艺环境,37687282
OsCslF6-overexpressing,功能验证的宿主调控/执行因子,未报告/不可由文献频次推断,1,1,2023,2023,BPH;WBPH,yes,not explicit,韧皮部取食界面与结构防御;激素、氧化还原与信号调控;宿主免疫、肽信号与昆虫效应子,36952539
OsCslF6-overexpressors,功能验证的宿主调控/执行因子,未报告/不可由文献频次推断,1,1,2023,2023,BPH;WBPH,yes,not explicit,激素、氧化还原与信号调控,36952539
OsATL,功能验证的宿主调控/执行因子,未报告/不可由文献频次推断,1,1,2022,2022,BPH,yes,not explicit,韧皮部取食界面与结构防御,35678495
Oscht1,功能验证的宿主调控/执行因子,未报告/不可由文献频次推断,1,1,2022,2022,BPH,yes,not explicit,韧皮部取食界面与结构防御,36064309
OsATL15-overexpressing,功能验证的宿主调控/执行因子,原句含效应量/主微效描述，需回到原文核验,1,1,2022,2022,BPH,yes,not explicit,,35678495
OsCKX1,功能验证的宿主调控/执行因子,未报告/不可由文献频次推断,1,1,2022,2022,BPH,yes,yes,激素、氧化还原与信号调控,35682620
Os09g00999,功能验证的宿主调控/执行因子,未报告/不可由文献频次推断,1,1,2021,2021,BPH,yes,not explicit,,34884461
Os18s,功能验证的宿主调控/执行因子,未报告/不可由文献频次推断,1,1,2021,2021,BPH,yes,not explicit,,34884461
OsGRF4,功能验证的宿主调控/执行因子,未报告/不可由文献频次推断,1,1,2021,2021,BPH,yes,not explicit,,34283216
OsJMJ715-mediated,功能验证的宿主调控/执行因子,未报告/不可由文献频次推断,1,1,2021,2021,BPH,yes,not explicit,激素、氧化还原与信号调控,34884830
OsJMJ715-RNAi,功能验证的宿主调控/执行因子,未报告/不可由文献频次推断,1,1,2021,2021,BPH,yes,yes,激素、氧化还原与信号调控;宿主免疫、肽信号与昆虫效应子,34884830
OsWRKY76,功能验证的宿主调控/执行因子,未报告/不可由文献频次推断,1,1,2021,2021,BPH,yes,not explicit,韧皮部取食界面与结构防御,34193042
OsSTP2,功能验证的宿主调控/执行因子,未报告/不可由文献频次推断,1,1,2021,2021,BPH,yes,not explicit,次生代谢与挥发性防御,34067367
Os6PGDH1-F1,功能验证的宿主调控/执行因子,原句含效应量/主微效描述，需回到原文核验,1,1,2020,2020,BPH,yes,yes,生长防御权衡与农艺环境,33182659
Os6PGDH1-R1,功能验证的宿主调控/执行因子,原句含效应量/主微效描述，需回到原文核验,1,1,2020,2020,BPH,yes,yes,生长防御权衡与农艺环境,33182659
Os6PGDH,功能验证的宿主调控/执行因子,未报告/不可由文献频次推断,1,1,2020,2020,BPH,yes,not explicit,激素、氧化还原与信号调控,33182659
OsPALs,功能验证的宿主调控/执行因子,未报告/不可由文献频次推断,1,1,2020,2020,BPH,yes,yes,次生代谢与挥发性防御,31848246
OsGRF,功能验证的宿主调控/执行因子,未报告/不可由文献频次推断,1,1,2019,2019,BPH,yes,not explicit,次生代谢与挥发性防御,30734457
OsmiR396s,功能验证的宿主调控/执行因子,未报告/不可由文献频次推断,1,1,2019,2019,BPH,yes,not explicit,次生代谢与挥发性防御,30734457
OsmiR396a,功能验证的宿主调控/执行因子,未报告/不可由文献频次推断,1,1,2019,2019,BPH,yes,yes,次生代谢与挥发性防御,30734457
OsmiR396b,功能验证的宿主调控/执行因子,未报告/不可由文献频次推断,1,1,2019,2019,BPH,yes,yes,次生代谢与挥发性防御,30734457
Osa-miR396,功能验证的宿主调控/执行因子,未报告/不可由文献频次推断,1,1,2019,2019,BPH,yes,not explicit,,31382588
OsF3HR16,功能验证的宿主调控/执行因子,未报告/不可由文献频次推断,1,1,2019,2019,BPH,yes,not explicit,次生代谢与挥发性防御,30734457
OsmiR396-OsGRF8,功能验证的宿主调控/执行因子,未报告/不可由文献频次推断,1,1,2019,2019,BPH,yes,not explicit,次生代谢与挥发性防御,30734457
OsLIS-silenced,功能验证的宿主调控/执行因子,未报告/不可由文献频次推断,1,1,2018,2018,BPH,yes,yes,生长防御权衡与农艺环境,30740564
OsERF3-silenced,功能验证的宿主调控/执行因子,未报告/不可由文献频次推断,1,1,2018,2018,BPH,yes,not explicit,激素、氧化还原与信号调控,30740564
OsWRKY13,功能验证的宿主调控/执行因子,未报告/不可由文献频次推断,1,1,2018,2018,BPH,yes,not explicit,激素、氧化还原与信号调控,30217023
OsWRKY30,功能验证的宿主调控/执行因子,未报告/不可由文献频次推断,1,1,2018,2018,BPH,yes,not explicit,激素、氧化还原与信号调控,30217023
OsWRKY33,功能验证的宿主调控/执行因子,未报告/不可由文献频次推断,1,1,2018,2018,BPH,yes,not explicit,激素、氧化还原与信号调控,30217023
OsGID-mediated,功能验证的宿主调控/执行因子,未报告/不可由文献频次推断,1,1,2018,2018,BPH,yes,not explicit,,30217023
Oshpl3,功能验证的宿主调控/执行因子,未报告/不可由文献频次推断,1,1,2018,2018,BPH,yes,not explicit,激素、氧化还原与信号调控;次生代谢与挥发性防御,30740564
OslecRK-silenced,功能验证的宿主调控/执行因子,未报告/不可由文献频次推断,1,1,2013,2013,BPH,yes,not explicit,激素、氧化还原与信号调控;宿主免疫、肽信号与昆虫效应子,24033867
OsLOX1,表达/组学关联候选,未报告/不可由文献频次推断,7,5,2008,2024,BPH,not explicit,not explicit,韧皮部取食界面与结构防御;激素、氧化还原与信号调控;次生代谢与挥发性防御;宿主免疫、肽信号与昆虫效应子,18185911;20969806;30551584;30622550;38891303
OsMPKs,表达/组学关联候选,未报告/不可由文献频次推断,83,2,2018,2023,BPH,not explicit,yes,遗传定位、克隆与抗源部署;激素、氧化还原与信号调控;次生代谢与挥发性防御;宿主免疫、肽信号与昆虫效应子,30551584;38069282
OsMPK14,表达/组学关联候选,未报告/不可由文献频次推断,5,2,2018,2025,BPH,not explicit,yes,激素、氧化还原与信号调控;宿主免疫、肽信号与昆虫效应子,30551584;40082317
Osbph6,表达/组学关联候选,未报告/不可由文献频次推断,3,2,2022,2024,BPH,not explicit,not explicit,遗传定位、克隆与抗源部署;激素、氧化还原与信号调控,36064309;38988632
OsbZIP23,表达/组学关联候选,未报告/不可由文献频次推断,2,2,2022,2024,BPH,not explicit,not explicit,遗传定位、克隆与抗源部署;激素、氧化还原与信号调控,36064309;38988632
OsPCF5,表达/组学关联候选,未报告/不可由文献频次推断,5,1,2024,2024,BPH,not explicit,yes,遗传定位、克隆与抗源部署;韧皮部取食界面与结构防御;次生代谢与挥发性防御;生长防御权衡与农艺环境,38520013
OsREM4.1,表达/组学关联候选,未报告/不可由文献频次推断,2,1,2024,2024,BPH,not explicit,yes,韧皮部取食界面与结构防御,39341852
OsPep3-elicited,表达/组学关联候选,未报告/不可由文献频次推断,2,1,2022,2022,BPH,not explicit,not explicit,韧皮部取食界面与结构防御;宿主免疫、肽信号与昆虫效应子,35068048
Os06g04990,表达/组学关联候选,未报告/不可由文献频次推断,2,1,2015,2015,BPH,not explicit,not explicit,激素、氧化还原与信号调控,26734057
Os04g56990,表达/组学关联候选,未报告/不可由文献频次推断,2,1,2015,2015,BPH,not explicit,not explicit,,26734057
OsRAR1,表达/组学关联候选,未报告/不可由文献频次推断,1,1,2023,2023,SBPH,not explicit,not explicit,病毒-媒介-水稻三方互作,37789388
OsRLCK07,表达/组学关联候选,未报告/不可由文献频次推断,1,1,2023,2023,SBPH,not explicit,not explicit,病毒-媒介-水稻三方互作,37789388
OsMAPK,表达/组学关联候选,未报告/不可由文献频次推断,1,1,2024,2024,BPH,not explicit,not explicit,激素、氧化还原与信号调控,39558244
OsR498G0408806900.01,表达/组学关联候选,未报告/不可由文献频次推断,1,1,2023,2023,BPH,not explicit,not explicit,,37480003
OsRLK-1,表达/组学关联候选,未报告/不可由文献频次推断,1,1,2023,2023,BPH,not explicit,not explicit,遗传定位、克隆与抗源部署,38003009
OsRLK-2,表达/组学关联候选,未报告/不可由文献频次推断,1,1,2023,2023,BPH,not explicit,not explicit,遗传定位、克隆与抗源部署,38003009
OsRLK-3,表达/组学关联候选,未报告/不可由文献频次推断,1,1,2023,2023,BPH,not explicit,not explicit,遗传定位、克隆与抗源部署,38003009
Os02g52780,表达/组学关联候选,未报告/不可由文献频次推断,1,1,2022,2022,BPH,not explicit,not explicit,遗传定位、克隆与抗源部署,36064309
Os04g35210,表达/组学关联候选,未报告/不可由文献频次推断,1,1,2022,2022,BPH,not explicit,not explicit,遗传定位、克隆与抗源部署,36064309
Os03g0122300,表达/组学关联候选,未报告/不可由文献频次推断,1,1,2022,2022,BPH,not explicit,not explicit,次生代谢与挥发性防御,35327963
OsF3H1,表达/组学关联候选,未报告/不可由文献频次推断,1,1,2022,2022,BPH,not explicit,not explicit,次生代谢与挥发性防御,35327963
OsJAZ11,表达/组学关联候选,未报告/不可由文献频次推断,1,1,2022,2022,BPH,not explicit,not explicit,激素、氧化还原与信号调控,35682997
OsJAZ1,表达/组学关联候选,未报告/不可由文献频次推断,1,1,2022,2022,BPH,not explicit,not explicit,,36064309
OsTDC1,表达/组学关联候选,未报告/不可由文献频次推断,1,1,2022,2022,BPH,not explicit,not explicit,次生代谢与挥发性防御,36064309
Os01g0741200,表达/组学关联候选,未报告/不可由文献频次推断,1,1,2021,2021,BPH,not explicit,not explicit,韧皮部取食界面与结构防御;激素、氧化还原与信号调控;宿主免疫、肽信号与昆虫效应子,34193042
Os01g0949500,表达/组学关联候选,未报告/不可由文献频次推断,1,1,2021,2021,BPH,not explicit,not explicit,韧皮部取食界面与结构防御;激素、氧化还原与信号调控;宿主免疫、肽信号与昆虫效应子,34193042
Os01g0955100,表达/组学关联候选,未报告/不可由文献频次推断,1,1,2021,2021,BPH,not explicit,not explicit,韧皮部取食界面与结构防御;激素、氧化还原与信号调控;宿主免疫、肽信号与昆虫效应子,34193042
Os02g0285300,表达/组学关联候选,未报告/不可由文献频次推断,1,1,2021,2021,BPH,not explicit,not explicit,韧皮部取食界面与结构防御;激素、氧化还原与信号调控;宿主免疫、肽信号与昆虫效应子,34193042
Os02g0719000,表达/组学关联候选,未报告/不可由文献频次推断,1,1,2021,2021,BPH,not explicit,not explicit,韧皮部取食界面与结构防御;激素、氧化还原与信号调控;宿主免疫、肽信号与昆虫效应子,34193042
Os04g0492800,表达/组学关联候选,未报告/不可由文献频次推断,1,1,2021,2021,BPH,not explicit,not explicit,韧皮部取食界面与结构防御;激素、氧化还原与信号调控;宿主免疫、肽信号与昆虫效应子,34193042
Os05g0454200,表达/组学关联候选,未报告/不可由文献频次推断,1,1,2021,2021,BPH,not explicit,not explicit,韧皮部取食界面与结构防御;激素、氧化还原与信号调控;宿主免疫、肽信号与昆虫效应子,34193042
Os05g0513800,表达/组学关联候选,未报告/不可由文献频次推断,1,1,2021,2021,BPH,not explicit,not explicit,韧皮部取食界面与结构防御;激素、氧化还原与信号调控;宿主免疫、肽信号与昆虫效应子,34193042
Os06g0683400,表达/组学关联候选,未报告/不可由文献频次推断,1,1,2021,2021,BPH,not explicit,not explicit,韧皮部取食界面与结构防御;激素、氧化还原与信号调控;宿主免疫、肽信号与昆虫效应子,34193042
Os09g0482800,表达/组学关联候选,未报告/不可由文献频次推断,1,1,2021,2021,BPH,not explicit,not explicit,韧皮部取食界面与结构防御;激素、氧化还原与信号调控;宿主免疫、肽信号与昆虫效应子,34193042
OsLysM-RLK4,表达/组学关联候选,未报告/不可由文献频次推断,1,1,2021,2021,BPH,not explicit,not explicit,韧皮部取食界面与结构防御;激素、氧化还原与信号调控;宿主免疫、肽信号与昆虫效应子,34193042
OsTCP21,表达/组学关联候选,未报告/不可由文献频次推断,1,1,2020,2020,BPH,not explicit,not explicit,激素、氧化还原与信号调控;宿主免疫、肽信号与昆虫效应子;病毒-媒介-水稻三方互作,32041548
Osa1,表达/组学关联候选,未报告/不可由文献频次推断,1,1,2020,2020,BPH,not explicit,not explicit,,33066559
OsDTC1,表达/组学关联候选,未报告/不可由文献频次推断,1,1,2019,2019,BPH,not explicit,yes,,30658570
OsRPK1,表达/组学关联候选,未报告/不可由文献频次推断,1,1,2016,2016,BPH,not explicit,not explicit,激素、氧化还原与信号调控;病毒-媒介-水稻三方互作,27540739
OsGSR1,表达/组学关联候选,未报告/不可由文献频次推断,1,1,2015,2015,BPH,not explicit,not explicit,,26734057
Os01g38610,表达/组学关联候选,未报告/不可由文献频次推断,1,1,2015,2015,BPH,not explicit,not explicit,,26734057
Os01g73250,表达/组学关联候选,未报告/不可由文献频次推断,1,1,2015,2015,BPH,not explicit,not explicit,激素、氧化还原与信号调控,26734057
Os06g37150,表达/组学关联候选,未报告/不可由文献频次推断,1,1,2015,2015,BPH,not explicit,not explicit,激素、氧化还原与信号调控,26734057
Os12g43440,表达/组学关联候选,未报告/不可由文献频次推断,1,1,2015,2015,BPH,not explicit,not explicit,激素、氧化还原与信号调控,26734057
Os01g37350,表达/组学关联候选,未报告/不可由文献频次推断,1,1,2015,2015,BPH,not explicit,not explicit,,26734057
OsMYB30,作用层级待核验的宿主基因,未报告/不可由文献频次推断,7,6,2022,2024,BPH,not explicit,yes,遗传定位、克隆与抗源部署;韧皮部取食界面与结构防御;激素、氧化还原与信号调控;次生代谢与挥发性防御;宿主免疫、肽信号与昆虫效应子,35068048;36952539;37569437;38069282;38520013;38562566
OsLecRKs,作用层级待核验的宿主基因,未报告/不可由文献频次推断,8,3,2018,2023,BPH,not explicit,yes,激素、氧化还原与信号调控;宿主免疫、肽信号与昆虫效应子,30551584;30888525;36952539
OsRLCK185,作用层级待核验的宿主基因,未报告/不可由文献频次推断,4,3,2023,2024,BPH,not explicit,not explicit,激素、氧化还原与信号调控;宿主免疫、肽信号与昆虫效应子,37316670;38337906;38601688
OsMPK6,作用层级待核验的宿主基因,未报告/不可由文献频次推断,3,3,2017,2023,BPH,not explicit,not explicit,激素、氧化还原与信号调控;宿主免疫、肽信号与昆虫效应子;生长防御权衡与农艺环境,28167952;30551584;37834016
OsPAL1,作用层级待核验的宿主基因,未报告/不可由文献频次推断,6,2,2018,2022,BPH,not explicit,yes,遗传定位、克隆与抗源部署;激素、氧化还原与信号调控;次生代谢与挥发性防御;宿主免疫、肽信号与昆虫效应子,30551584;35876337
OsNBR1,作用层级待核验的宿主基因,未报告/不可由文献频次推断,5,2,2023,2023,BPH,not explicit,yes,遗传定位、克隆与抗源部署;宿主免疫、肽信号与昆虫效应子;生长防御权衡与农艺环境,37316670;37569437
OsLecRK4,作用层级待核验的宿主基因,未报告/不可由文献频次推断,5,2,2018,2020,BPH,not explicit,yes,激素、氧化还原与信号调控;宿主免疫、肽信号与昆虫效应子,30551584;33154527
OsJMT1,作用层级待核验的宿主基因,未报告/不可由文献频次推断,3,2,2017,2018,BPH,not explicit,not explicit,遗传定位、克隆与抗源部署;激素、氧化还原与信号调控;次生代谢与挥发性防御,28245796;30740564
OsPLDa4,作用层级待核验的宿主基因,未报告/不可由文献频次推断,2,2,2017,2024,BPH,not explicit,not explicit,激素、氧化还原与信号调控;次生代谢与挥发性防御,28245796;38891303
Osaka,作用层级待核验的宿主基因,未报告/不可由文献频次推断,2,2,2014,2023,BPH,yes,yes,遗传定位、克隆与抗源部署,25076167;37636116
OsWRKY45-dependent,作用层级待核验的宿主基因,未报告/不可由文献频次推断,2,2,2016,2018,BPH,not explicit,not explicit,激素、氧化还原与信号调控,27258255;29695083
OsLCB2a1,作用层级待核验的宿主基因,原句含效应量/主微效描述，需回到原文核验,7,1,2016,2016,BPH,not explicit,not explicit,激素、氧化还原与信号调控;次生代谢与挥发性防御,27990147
OsHDZIP,作用层级待核验的宿主基因,未报告/不可由文献频次推断,6,1,2022,2022,BPH;SBPH,not explicit,yes,激素、氧化还原与信号调控;宿主免疫、肽信号与昆虫效应子,36004924
OsMPK5,作用层级待核验的宿主基因,未报告/不可由文献频次推断,5,1,2018,2018,BPH,not explicit,yes,激素、氧化还原与信号调控;宿主免疫、肽信号与昆虫效应子,30551584
OsMPK1,作用层级待核验的宿主基因,未报告/不可由文献频次推断,5,1,2018,2018,BPH,not explicit,not explicit,宿主免疫、肽信号与昆虫效应子,30551584
OsMPK9,作用层级待核验的宿主基因,未报告/不可由文献频次推断,5,1,2018,2018,BPH,not explicit,not explicit,激素、氧化还原与信号调控;宿主免疫、肽信号与昆虫效应子,30551584
OsHLH61,作用层级待核验的宿主基因,未报告/不可由文献频次推断,4,1,2019,2019,BPH,not explicit,yes,激素、氧化还原与信号调控;生长防御权衡与农艺环境,30796564
OsMPK8,作用层级待核验的宿主基因,未报告/不可由文献频次推断,4,1,2018,2018,BPH,not explicit,not explicit,激素、氧化还原与信号调控;宿主免疫、肽信号与昆虫效应子,30551584
OsMPK12,作用层级待核验的宿主基因,未报告/不可由文献频次推断,4,1,2018,2018,BPH,not explicit,yes,激素、氧化还原与信号调控;宿主免疫、肽信号与昆虫效应子,30551584
OsMPK13,作用层级待核验的宿主基因,未报告/不可由文献频次推断,4,1,2018,2018,BPH,not explicit,yes,宿主免疫、肽信号与昆虫效应子,30551584
