PMID,year,phase,journal,title,retrieval_scopes,sentence_count,themes,methods
34498803,2022,2021-2025,Insect science,Chitin synthase 1 and five cuticle protein genes are involved in serosal cuticle formation during early embryogenesis to enhance eggshells in Nilaparvata lugens.,BPH resistance,1,代谢、挥发物与结构防御,
34908164,2022,2021-2025,Journal of cellular physiology,Isolation and functional analysis of OsAOS1 promoter for resistance to Nilaparvata lugens Stål infestation in rice.,BPH resistance,2,抗源鉴定与表型评价; 基因编辑与功能验证,转基因/RNAi/突变体
35054952,2022,2021-2025,International journal of molecular sciences,"Repellency Mechanism of Natural Guar Gum-Based Film Incorporated with Citral against Brown Planthopper, Nilaparvata lugens (Stål) (Hemiptera: Delphacidae).",BPH resistance,2,代谢、挥发物与结构防御,
35055928,2022,2021-2025,Insects,Detection of Yeast-like Symbionts in Brown Planthopper Reared on Different Resistant Rice Varieties Combining DGGE and Absolute Quantitative Real-Time PCR.,BPH resistance,26,抗源鉴定与表型评价; 主效抗性基因与受体识别; 宿主-昆虫互作与效应子; 生长-防御权衡与育种转化,田间/产量/育种评价
35055947,2022,2021-2025,Insects,Decoyinine Induced Resistance in Rice against Small Brown Planthopper Laodelphax striatellus.,BPH resistance,5,抗源鉴定与表型评价; 激素、转录与免疫信号; 代谢、挥发物与结构防御; 生长-防御权衡与育种转化,
35058803,2022,2021-2025,Frontiers in physiology,Effects of Different Nutritional Conditions on the Growth and Reproduction of Nilaparvata lugens (Stål).,BPH resistance,6,抗源鉴定与表型评价; 代谢、挥发物与结构防御; 生长-防御权衡与育种转化,田间/产量/育种评价
35068048,2022,2021-2025,Plant biotechnology journal,Plant elicitor peptide signalling confers rice resistance to piercing-sucking insect herbivores and pathogens.,BPH resistance,36,抗源鉴定与表型评价; 主效抗性基因与受体识别; 激素、转录与免疫信号; 代谢、挥发物与结构防御; 组学与系统网络; 基因编辑与功能验证; 宿主-昆虫互作与效应子; 昆虫侧适应、毒力与药剂抗性,表达组学/多组学
35100268,2022,2021-2025,PloS one,Marker assisted pedigree breeding based improvement of the Indian mega variety of rice MTU1010 for resistance against bacterial blight and blast and tolerance to low soil phosphorus.,BPH resistance,1,抗源鉴定与表型评价; 生长-防御权衡与育种转化,田间/产量/育种评价
35116051,2022,2021-2025,Frontiers in plant science,"OsLMP1, Encoding a Deubiquitinase, Regulates the Immune Response in Rice.",Broad planthopper,1,抗源鉴定与表型评价; 激素、转录与免疫信号,
35119102,2022,2021-2025,The New phytologist,Necessity of rice resistance to planthoppers for OsEXO70H3 regulating SAMSL excretion and lignin deposition in cell walls.,BPH resistance,13,抗源鉴定与表型评价; 主效抗性基因与受体识别; 代谢、挥发物与结构防御; 基因编辑与功能验证; 宿主-昆虫互作与效应子,转基因/RNAi/突变体
35126405,2022,2021-2025,Frontiers in plant science,"Salicylic Acid, Jasmonate, and Ethylene Contribute to Rice Defense Against White Tip Nematodes Aphelenchoides besseyi.",BPH damage,1,抗源鉴定与表型评价; 激素、转录与免疫信号; 生长-防御权衡与育种转化,
35163461,2022,2021-2025,International journal of molecular sciences,"Bio-Efficacy of Chrysoeriol7, a Natural Chemical and Repellent, against Brown Planthopper in Rice.",BPH resistance,10,抗源鉴定与表型评价; 代谢、挥发物与结构防御; 昆虫侧适应、毒力与药剂抗性; 生长-防御权衡与育种转化,田间/产量/育种评价
35206680,2022,2021-2025,Insects,Compatibility of Insecticides with Rice Resistance to Planthoppers as Influenced by the Timing and Frequency of Applications.,BPH resistance,17,抗源鉴定与表型评价; 主效抗性基因与受体识别; 宿主-昆虫互作与效应子; 昆虫侧适应、毒力与药剂抗性; 生长-防御权衡与育种转化,田间/产量/育种评价
35217680,2022,2021-2025,Scientific reports,Salivary protein 7 of the brown planthopper functions as an effector for mediating tricin metabolism in rice plants.,BPH resistance,19,抗源鉴定与表型评价; 代谢、挥发物与结构防御; 基因编辑与功能验证; 宿主-昆虫互作与效应子,转基因/RNAi/突变体
35218297,2022,2021-2025,Plant biotechnology journal,Plant Public RNA-seq Database: a comprehensive online database for expression analysis of ~45 000 plant public RNA-Seq libraries.,BPH resistance,1,抗源鉴定与表型评价; 组学与系统网络,表达组学/多组学
35226488,2022,2021-2025,Journal of agricultural and food chemistry,Rice Defense against Brown Planthopper Partially by Suppressing the Expression of Transferrin Family Genes of Brown Planthopper.,BPH resistance,2,抗源鉴定与表型评价; 宿主-昆虫互作与效应子,
35254088,2022,2021-2025,Journal of virology,Flotillin 2 Facilitates the Infection of a Plant Virus in the Gut of Insect Vector.,BPH damage,3,,
35267056,2022,2021-2025,TAG. Theoretical and applied genetics. Theoretische und angewandte Genetik,"Molecular mechanisms, genetic mapping, and genome editing for insect pest resistance in field crops.",BPH resistance,4,抗源鉴定与表型评价; 遗传定位、QTL与关联分析; 主效抗性基因与受体识别; 代谢、挥发物与结构防御; 生长-防御权衡与育种转化,连锁/QTL/标记育种; CRISPR/精准编辑; 田间/产量/育种评价
35270092,2022,2021-2025,"Plants (Basel, Switzerland)","Multiparent-Derived, Marker-Assisted Introgression Lines of the Elite Indian Rice Cultivar, 'Krishna Hamsa' Show Resistance against Bacterial Blight and Blast and Tolerance to Drought.",BPH resistance,5,抗源鉴定与表型评价; 遗传定位、QTL与关联分析; 主效抗性基因与受体识别; 生长-防御权衡与育种转化,连锁/QTL/标记育种; 田间/产量/育种评价
35290527,2022,2021-2025,"Rice (New York, N.Y.)","Creation of Elite Rice with High-Yield, Superior-Quality and High Resistance to Brown Planthopper Based on Molecular Design.",BPH damage; BPH resistance,14,抗源鉴定与表型评价; 遗传定位、QTL与关联分析; 主效抗性基因与受体识别; 生长-防御权衡与育种转化,连锁/QTL/标记育种; 田间/产量/育种评价
35295635,2022,2021-2025,Frontiers in plant science,Planthopper-Secreted Salivary Calmodulin Acts as an Effector for Defense Responses in Rice.,BPH damage; BPH resistance; Broad planthopper,10,抗源鉴定与表型评价; 激素、转录与免疫信号; 基因编辑与功能验证; 宿主-昆虫互作与效应子,转基因/RNAi/突变体
35323548,2022,2021-2025,Insects,Interactions between Rice Resistance to Planthoppers and Honeydew-Related Egg Parasitism under Varying Levels of Nitrogenous Fertilizer.,BPH resistance; Broad planthopper,6,抗源鉴定与表型评价; 主效抗性基因与受体识别; 代谢、挥发物与结构防御; 宿主-昆虫互作与效应子; 生长-防御权衡与育种转化,田间/产量/育种评价
35323596,2022,2021-2025,Insects,Heat Shock 70 kDa Protein Cognate 3 of Brown Planthopper Is Required for Survival and Suppresses Immune Response in Plants.,BPH resistance; Broad planthopper,11,抗源鉴定与表型评价; 激素、转录与免疫信号; 基因编辑与功能验证; 宿主-昆虫互作与效应子; 生长-防御权衡与育种转化,转基因/RNAi/突变体; 田间/产量/育种评价
35327963,2022,2021-2025,Genes,Genome-Wide Identification and Expression Profiles of 13 Key Structural Gene Families Involved in the Biosynthesis of Rice Flavonoid Scaffolds.,BPH resistance,1,抗源鉴定与表型评价; 代谢、挥发物与结构防御,
35328511,2022,2021-2025,International journal of molecular sciences,"BoPEP4, a C-Terminally Encoded Plant Elicitor Peptide from Broccoli, Plays a Role in Salinity Stress Tolerance.",BPH damage,1,抗源鉴定与表型评价; 激素、转录与免疫信号; 代谢、挥发物与结构防御; 组学与系统网络,表达组学/多组学
35343596,2022,2021-2025,"Plant, cell & environment",Identification of the rice genes and metabolites involved in dual resistance against brown planthopper and rice blast fungus.,BPH resistance,3,抗源鉴定与表型评价; 代谢、挥发物与结构防御; 组学与系统网络; 基因编辑与功能验证,表达组学/多组学
35386681,2022,2021-2025,Frontiers in plant science,OsAPX1 Positively Contributes to Rice Blast Resistance.,BPH resistance,1,抗源鉴定与表型评价,
35390696,2022,2021-2025,Virology,"Identification of putative binding interface of PI(3,5)P(2) lipid on rice black-streaked dwarf virus (RBSDV) P10 protein.",BPH damage,1,,
35401612,2022,2021-2025,Frontiers in plant science,A Genetic Resource for Rice Improvement: Introgression Library of Agronomic Traits for All AA Genome Oryza Species.,BPH resistance,1,抗源鉴定与表型评价; 主效抗性基因与受体识别; 宿主-昆虫互作与效应子; 生长-防御权衡与育种转化,田间/产量/育种评价
35406634,2022,2021-2025,Cells,The Promising Therapeutic and Preventive Properties of Anthocyanidins/Anthocyanins on Prostate Cancer.,BPH resistance,1,,
35409303,2022,2021-2025,International journal of molecular sciences,"Jasmonate Signaling Pathway Modulates Plant Defense, Growth, and Their Trade-Offs.",BPH resistance,1,抗源鉴定与表型评价; 激素、转录与免疫信号; 宿主-昆虫互作与效应子; 生长-防御权衡与育种转化,
35447797,2022,2021-2025,Insects,Physiological and Population Responses of Nilaparvata lugens after Feeding on Drought-Stressed Rice.,BPH resistance,21,抗源鉴定与表型评价; 代谢、挥发物与结构防御; 昆虫侧适应、毒力与药剂抗性,
35447836,2022,2021-2025,Insects,Silencing the Autophagy-Related Genes ATG3 and ATG9 Promotes SRBSDV Propagation and Transmission in Sogatella furcifera.,BPH damage; Broad planthopper; WBPH resistance,3,基因编辑与功能验证,转基因/RNAi/突变体
35448951,2022,2021-2025,BMC plant biology,Comprehensive evaluation of Chinese peanut mini-mini core collection and QTL mapping for aflatoxin resistance.,BPH damage,1,抗源鉴定与表型评价; 遗传定位、QTL与关联分析; 激素、转录与免疫信号; 代谢、挥发物与结构防御,连锁/QTL/标记育种
35456901,2022,2021-2025,International journal of molecular sciences,Transcriptome and Metabolome Profiling Reveal the Resistance Mechanisms of Rice against Brown Planthopper.,BPH resistance,47,抗源鉴定与表型评价; 主效抗性基因与受体识别; 激素、转录与免疫信号; 代谢、挥发物与结构防御; 组学与系统网络; 基因编辑与功能验证; 宿主-昆虫互作与效应子; 生长-防御权衡与育种转化,表达组学/多组学; 转基因/RNAi/突变体
35458398,2022,2021-2025,Viruses,Genomics in Plant Viral Research.,BPH resistance,2,抗源鉴定与表型评价; 主效抗性基因与受体识别; 生长-防御权衡与育种转化,田间/产量/育种评价
35462224,2022,2021-2025,Journal of plant physiology,Molecular identification and efficacy assessment of a glufosinate-tolerant and brown planthopper-resistant transgenic rice line.,BPH resistance,2,抗源鉴定与表型评价; 主效抗性基因与受体识别; 基因编辑与功能验证; 生长-防御权衡与育种转化,转基因/RNAi/突变体; 田间/产量/育种评价
35497027,2022,2021-2025,Heliyon,The insecticidal capacity of ethanol extract from Cascabela peruviana (L.) Lippold against fruit fly.,BPH resistance,1,生长-防御权衡与育种转化,田间/产量/育种评价
35498688,2022,2021-2025,Frontiers in plant science,Bulked Segregant RNA Sequencing Revealed Difference Between Virulent and Avirulent Brown Planthoppers.,BPH resistance,28,抗源鉴定与表型评价; 遗传定位、QTL与关联分析; 主效抗性基因与受体识别; 代谢、挥发物与结构防御; 组学与系统网络; 基因编辑与功能验证; 宿主-昆虫互作与效应子; 昆虫侧适应、毒力与药剂抗性; 生长-防御权衡与育种转化,连锁/QTL/标记育种; 表达组学/多组学; 转基因/RNAi/突变体; 田间/产量/育种评价
35533206,2022,2021-2025,PLoS pathogens,A nonstructural protein encoded by a rice reovirus induces an incomplete autophagy to promote viral spread in insect vectors.,Broad planthopper,1,,
35560151,2022,2021-2025,PLoS pathogens,NF-YA transcription factors suppress jasmonic acid-mediated antiviral defense and facilitate viral infection in rice.,WBPH resistance,1,抗源鉴定与表型评价; 激素、转录与免疫信号; 基因编辑与功能验证,转基因/RNAi/突变体
35567151,2022,2021-2025,"Plants (Basel, Switzerland)",SNP Based Trait Characterization Detects Genetically Important and Stable Multiple Stress Tolerance Rice Genotypes in Salt-Stress Environments.,BPH damage; BPH resistance,2,主效抗性基因与受体识别; 生长-防御权衡与育种转化,田间/产量/育种评价
35576158,2022,2021-2025,Plant communications,Genomic insights on the contribution of introgressions from Xian/Indica to the genetic improvement of Geng/Japonica rice cultivars.,BPH resistance,3,抗源鉴定与表型评价; 主效抗性基因与受体识别; 生长-防御权衡与育种转化,田间/产量/育种评价
35591925,2022,2021-2025,Horticulture research,Evolution and functional diversification of R2R3-MYB transcription factors in plants.,BPH damage,1,抗源鉴定与表型评价; 激素、转录与免疫信号,
35599859,2022,2021-2025,Frontiers in plant science,Plant Kinases in the Perception and Signaling Networks Associated With Arthropod Herbivory.,Broad planthopper,1,激素、转录与免疫信号; 组学与系统网络; 宿主-昆虫互作与效应子,
35604579,2022,2021-2025,Botanical studies,Effect of nitrogen fertilizer on the resistance of rice near-isogenic lines with BPH resistance genes.,BPH resistance,13,抗源鉴定与表型评价; 主效抗性基因与受体识别; 宿主-昆虫互作与效应子; 生长-防御权衡与育种转化,田间/产量/育种评价
35621763,2022,2021-2025,Insects,Mechanisms of Trichomes and Terpene Compounds in Indigenous and Commercial Thai Rice Varieties against Brown Planthopper.,BPH resistance,20,抗源鉴定与表型评价; 主效抗性基因与受体识别; 代谢、挥发物与结构防御; 生长-防御权衡与育种转化,田间/产量/育种评价
35628761,2022,2021-2025,"Journal of fungi (Basel, Switzerland)",The Entomopathogenic Fungus Metarhizium anisopliae Affects Feeding Preference of Sogatella furcifera and Its Potential Targets' Identification.,Broad planthopper,1,抗源鉴定与表型评价; 组学与系统网络,表达组学/多组学
35635977,2022,2021-2025,Biosensors & bioelectronics,De novo profiling of insect-resistant proteins of rice via nanopore peptide differentiation.,BPH resistance,1,抗源鉴定与表型评价; 主效抗性基因与受体识别,
35645997,2022,2021-2025,Frontiers in plant science,RNA Interference for Improving Disease Resistance in Plants and Its Relevance in This Clustered Regularly Interspaced Short Palindromic Repeats-Dominated Era in Terms of dsRNA-Based Biopesticides.,BPH damage,1,抗源鉴定与表型评价; 基因编辑与功能验证; 昆虫侧适应、毒力与药剂抗性,转基因/RNAi/突变体
35655780,2022,2021-2025,Frontiers in immunology,Nucleoprotein of a Rice Rhabdovirus Serves as the Effector to Attenuate Hemolymph Melanization and Facilitate Viral Persistent Propagation in its Leafhopper Vector.,Broad planthopper,1,宿主-昆虫互作与效应子,
35678495,2022,2021-2025,Plant biotechnology journal,An amino acid transporter-like protein (OsATL15) facilitates the systematic distribution of thiamethoxam in rice for controlling the brown planthopper.,BPH damage; BPH resistance; Broad planthopper,14,抗源鉴定与表型评价; 基因编辑与功能验证; 昆虫侧适应、毒力与药剂抗性; 生长-防御权衡与育种转化,转基因/RNAi/突变体; 田间/产量/育种评价
35682620,2022,2021-2025,International journal of molecular sciences,Cytokinin Confers Brown Planthopper Resistance by Elevating Jasmonic Acid Pathway in Rice.,BPH resistance,25,抗源鉴定与表型评价; 主效抗性基因与受体识别; 激素、转录与免疫信号; 代谢、挥发物与结构防御; 基因编辑与功能验证; 宿主-昆虫互作与效应子; 昆虫侧适应、毒力与药剂抗性; 生长-防御权衡与育种转化,转基因/RNAi/突变体; CRISPR/精准编辑; 田间/产量/育种评价
35682997,2022,2021-2025,International journal of molecular sciences,Transcriptome Analysis Reveals Crosstalk between the Abscisic Acid and Jasmonic Acid Signaling Pathways in Rice-Mediated Defense against Nilaparvata lugens.,BPH resistance,16,抗源鉴定与表型评价; 激素、转录与免疫信号; 代谢、挥发物与结构防御; 组学与系统网络; 宿主-昆虫互作与效应子; 生长-防御权衡与育种转化,表达组学/多组学; 田间/产量/育种评价
35683002,2022,2021-2025,International journal of molecular sciences,A TIR-NBS-LRR Gene MdTNL1 Regulates Resistance to Glomerella Leaf Spot in Apple.,BPH resistance,1,抗源鉴定与表型评价; 主效抗性基因与受体识别,
35715045,2022,2021-2025,Pesticide biochemistry and physiology,"Knockdown of the chromatin remodeling ATPase gene Brahma impairs the reproductive potential of the brown planthopper, Nilaparvata lugens.",BPH resistance,1,基因编辑与功能验证,转基因/RNAi/突变体
35719377,2022,2021-2025,Frontiers in genetics,Biotechnological Approaches for Host Plant Resistance to Insect Pests.,BPH resistance,4,抗源鉴定与表型评价; 遗传定位、QTL与关联分析; 主效抗性基因与受体识别; 基因编辑与功能验证; 宿主-昆虫互作与效应子; 生长-防御权衡与育种转化,连锁/QTL/标记育种; 转基因/RNAi/突变体; 田间/产量/育种评价
35735865,2022,2021-2025,Insects,"Topical Fungal Infection Induces Shifts in the Gut Microbiota Structure of Brown Planthopper, Nilaparvata lugens (Homoptera: Delphacidae).",BPH resistance,4,抗源鉴定与表型评价; 昆虫侧适应、毒力与药剂抗性; 生长-防御权衡与育种转化,田间/产量/育种评价
35741403,2022,2021-2025,Biology,Elevated CO(2) Altered Rice VOCs Aggravate Population Occurrence of Brown Planthoppers by Improving Host Selection Ability.,BPH resistance,33,抗源鉴定与表型评价; 主效抗性基因与受体识别; 代谢、挥发物与结构防御; 宿主-昆虫互作与效应子; 昆虫侧适应、毒力与药剂抗性; 生长-防御权衡与育种转化,田间/产量/育种评价
35754716,2022,2021-2025,iScience,Shifts in Pseudomonas species diversity influence adaptation of brown planthopper to changing climates and geographical locations.,BPH resistance,12,抗源鉴定与表型评价; 宿主-昆虫互作与效应子; 生长-防御权衡与育种转化,田间/产量/育种评价
35764746,2022,2021-2025,Molecular biology reports,Molecular mapping and transfer of a novel brown planthopper resistance gene bph42 from Oryza rufipogon (Griff.) To cultivated rice (Oryza sativa L.).,BPH resistance,3,抗源鉴定与表型评价; 遗传定位、QTL与关联分析; 主效抗性基因与受体识别; 生长-防御权衡与育种转化,连锁/QTL/标记育种; 田间/产量/育种评价
35783980,2022,2021-2025,Frontiers in plant science,Fine Mapping and Characterization of an Aphid-Resistance Gene in the Soybean Landrace Fangzheng Moshidou.,BPH resistance,1,抗源鉴定与表型评价; 遗传定位、QTL与关联分析; 主效抗性基因与受体识别; 激素、转录与免疫信号,连锁/QTL/标记育种
35797383,2022,2021-2025,PLoS pathogens,Interaction between endogenous microRNAs and virus-derived small RNAs controls viral replication in insect vectors.,BPH damage,2,抗源鉴定与表型评价; 组学与系统网络; 宿主-昆虫互作与效应子,表达组学/多组学
35806046,2022,2021-2025,International journal of molecular sciences,"Plant Responses to Herbivory, Wounding, and Infection.",BPH resistance,1,激素、转录与免疫信号; 宿主-昆虫互作与效应子,
35845607,2022,2021-2025,Frontiers in molecular neuroscience,Function of Transient Receptor Potential-Like Channel in Insect Egg Laying.,BPH damage; BPH resistance,3,昆虫侧适应、毒力与药剂抗性,
35845644,2022,2021-2025,Frontiers in plant science,Interspecific Hybridization Is an Important Driving Force for Origin and Diversification of Asian Cultivated Rice Oryza sativa L.,BPH resistance,1,抗源鉴定与表型评价; 主效抗性基因与受体识别,
35850632,2022,2021-2025,BMC plant biology,MicroRNA-mediated host defense mechanisms against pathogens and herbivores in rice: balancing gains from genetic resistance with trade-offs to productivity potential.,BPH resistance,1,抗源鉴定与表型评价; 遗传定位、QTL与关联分析; 激素、转录与免疫信号; 生长-防御权衡与育种转化,连锁/QTL/标记育种; 田间/产量/育种评价
35859297,2022,2021-2025,Genome biology and evolution,Alternative Modes of Introgression-Mediated Selection Shaped Crop Adaptation to Novel Climates.,BPH damage,1,抗源鉴定与表型评价; 宿主-昆虫互作与效应子,
35863076,2022,2021-2025,Genome,Identification of novel candidate of brown planthopper resistance gene Bph44 in rice (Oryza sativa L.).,BPH resistance,2,抗源鉴定与表型评价; 主效抗性基因与受体识别,
35876337,2022,2021-2025,Plant signaling & behavior,Damage of brown planthopper (BPH) Nilaparvata lugens and rice leaf folder (LF) Cnaphalocrocis medinalis in parent plants lead to distinct resistance in ratoon rice.,BPH resistance,17,抗源鉴定与表型评价; 激素、转录与免疫信号; 基因编辑与功能验证; 生长-防御权衡与育种转化,转基因/RNAi/突变体; 田间/产量/育种评价
35886780,2022,2021-2025,Insects,"Combined Effects of Soil Silicon and Host Plant Resistance on Planthoppers, Blast and Bacterial Blight in Tropical Rice.",BPH resistance; Broad planthopper; WBPH resistance,13,抗源鉴定与表型评价; 主效抗性基因与受体识别; 代谢、挥发物与结构防御; 宿主-昆虫互作与效应子; 生长-防御权衡与育种转化,
35887156,2022,2021-2025,International journal of molecular sciences,"Characterization of MicroRNAs Associated with Reproduction in the Brown Planthopper, Nilaparvata lugens.",BPH resistance,1,,
35897828,2022,2021-2025,International journal of molecular sciences,Sogatella furcifera Saliva Mucin-like Protein Is Required for Feeding and Induces Rice Defences.,WBPH resistance,14,抗源鉴定与表型评价; 组学与系统网络; 基因编辑与功能验证; 宿主-昆虫互作与效应子; 生长-防御权衡与育种转化,表达组学/多组学; 转基因/RNAi/突变体; 田间/产量/育种评价
35899197,2022,2021-2025,Frontiers in genetics,Development and Validation of Diagnostic KASP Markers for Brown Planthopper Resistance in Rice.,BPH resistance,22,抗源鉴定与表型评价; 遗传定位、QTL与关联分析; 主效抗性基因与受体识别; 宿主-昆虫互作与效应子; 生长-防御权衡与育种转化,连锁/QTL/标记育种; GWAS/群体基因组/基因组预测; 田间/产量/育种评价
35910769,2022,2021-2025,PeerJ,Genome-wide identification of long non-coding (lncRNA) in Nilaparvata lugens's adaptability to resistant rice.,BPH resistance,13,抗源鉴定与表型评价; 主效抗性基因与受体识别; 代谢、挥发物与结构防御; 组学与系统网络; 宿主-昆虫互作与效应子; 生长-防御权衡与育种转化,表达组学/多组学; 田间/产量/育种评价
35937318,2022,2021-2025,Frontiers in plant science,GhCalS5 is involved in cotton response to aphid attack through mediating callose formation.,BPH resistance,1,抗源鉴定与表型评价,
35937375,2022,2021-2025,Frontiers in plant science,Vibrational courtship disruption of Nilaparvata lugens using artificial disruptive signals.,BPH resistance,2,抗源鉴定与表型评价; 昆虫侧适应、毒力与药剂抗性,
35955860,2022,2021-2025,International journal of molecular sciences,Heritable Epigenomic Modifications Influence Stress Resilience and Rapid Adaptations in the Brown Planthopper (Nilaparvata lugens).,BPH resistance,5,抗源鉴定与表型评价; 宿主-昆虫互作与效应子; 昆虫侧适应、毒力与药剂抗性; 生长-防御权衡与育种转化,田间/产量/育种评价
35956485,2022,2021-2025,"Plants (Basel, Switzerland)",Research Progress and Prospect of Alfalfa Resistance to Pathogens and Pests.,BPH damage; BPH resistance,2,抗源鉴定与表型评价; 主效抗性基因与受体识别; 基因编辑与功能验证; 昆虫侧适应、毒力与药剂抗性,转基因/RNAi/突变体
35956515,2022,2021-2025,"Plants (Basel, Switzerland)",Management and Utilization of Plant Genetic Resources for a Sustainable Agriculture.,BPH resistance,1,抗源鉴定与表型评价; 主效抗性基因与受体识别,
36004924,2022,2021-2025,"Bioengineering (Basel, Switzerland)","The Homeodomain-Leucine Zipper Genes Family Regulates the Jinggangmycin Mediated Immune Response of Oryza sativa to Nilaparvata lugens, and Laodelphax striatellus.",BPH resistance,15,抗源鉴定与表型评价; 激素、转录与免疫信号; 组学与系统网络; 生长-防御权衡与育种转化,表达组学/多组学; 田间/产量/育种评价
36012694,2022,2021-2025,International journal of molecular sciences,"The Cross-Resistance Pattern and the Metabolic Resistance Mechanism of Acetamiprid in the Brown Planthopper, Nilaparvata lugens (Stål).",BPH damage,1,抗源鉴定与表型评价; 代谢、挥发物与结构防御; 基因编辑与功能验证; 昆虫侧适应、毒力与药剂抗性,转基因/RNAi/突变体
36037368,2022,2021-2025,Proceedings of the National Academy of Sciences of the United States of America,Key role of exportin 6 in exosome-mediated viral transmission from insect vectors to plants.,BPH damage,1,宿主-昆虫互作与效应子,
36064309,2022,2021-2025,BMC genomics,"Transcriptome profiling in rice reveals a positive role for OsNCED3 in defense against the brown planthopper, Nilaparvata lugens.",BPH damage; BPH resistance,34,抗源鉴定与表型评价; 主效抗性基因与受体识别; 激素、转录与免疫信号; 代谢、挥发物与结构防御; 组学与系统网络; 基因编辑与功能验证; 宿主-昆虫互作与效应子; 生长-防御权衡与育种转化,表达组学/多组学; 转基因/RNAi/突变体; 田间/产量/育种评价
36079588,2022,2021-2025,"Plants (Basel, Switzerland)",YTH Domain Proteins Play an Essential Role in Rice Growth and Stress Response.,Broad planthopper,1,抗源鉴定与表型评价; 主效抗性基因与受体识别,
36092401,2022,2021-2025,Frontiers in plant science,Genome-wide characterization of cys-tathionine-β-synthase domain-containing proteins in sugarcane reveals their role in defense responses under multiple stressors.,BPH damage,1,抗源鉴定与表型评价; 激素、转录与免疫信号; 基因编辑与功能验证,转基因/RNAi/突变体
36100693,2022,2021-2025,TAG. Theoretical and applied genetics. Theoretische und angewandte Genetik,Golden 2-like transcription factor contributes to the major QTL against rice black-streaked dwarf virus disease.,BPH resistance,1,抗源鉴定与表型评价; 遗传定位、QTL与关联分析; 激素、转录与免疫信号,连锁/QTL/标记育种
36105698,2022,2021-2025,Frontiers in plant science,Transcriptome profiling of Toona ciliata young stems in response to Hypsipyla robusta Moore.,BPH damage,1,抗源鉴定与表型评价; 激素、转录与免疫信号; 代谢、挥发物与结构防御; 组学与系统网络,表达组学/多组学
36126900,2022,2021-2025,NanoImpact,"Silver and copper-oxide nanoparticles prepared with GA(3) induced defense in rice plants and caused mortalities to the brown planthopper, Nilaparvata lugens (Stål).",BPH damage,1,,
36187783,2022,2021-2025,Frontiers in physiology,Transcriptome and metabolome analyses reveal the responses of brown planthoppers to RH resistant rice cultivar.,BPH resistance,39,抗源鉴定与表型评价; 主效抗性基因与受体识别; 代谢、挥发物与结构防御; 组学与系统网络; 宿主-昆虫互作与效应子; 生长-防御权衡与育种转化,表达组学/多组学; 田间/产量/育种评价
36192692,2022,2021-2025,BMC genomics,SPARC plays an important role in the oviposition and nymphal development in Nilaparvata lugens Stål.,BPH damage,1,基因编辑与功能验证; 宿主-昆虫互作与效应子,转基因/RNAi/突变体
36212323,2022,2021-2025,Frontiers in plant science,Hrip1 mediates rice cell wall fortification and phytoalexins elicitation to confer immunity against Magnaporthe oryzae.,BPH resistance,1,代谢、挥发物与结构防御,
36221916,2022,2021-2025,The plant pathology journal,Versatile Roles of Microbes and Small RNAs in Rice and Planthopper Interactions.,BPH resistance; Broad planthopper,8,抗源鉴定与表型评价; 激素、转录与免疫信号; 代谢、挥发物与结构防御; 组学与系统网络; 基因编辑与功能验证; 宿主-昆虫互作与效应子,表达组学/多组学; 转基因/RNAi/突变体
36297718,2022,2021-2025,"Plants (Basel, Switzerland)",Calcium Signaling in Plant-Insect Interactions.,BPH damage; Broad planthopper,2,抗源鉴定与表型评价; 激素、转录与免疫信号; 组学与系统网络; 基因编辑与功能验证; 宿主-昆虫互作与效应子,表达组学/多组学; 转基因/RNAi/突变体
36323756,2022,2021-2025,Scientific reports,"Identification of two QTLs, BPH41 and BPH42, and their respective gene candidates for brown planthopper resistance in rice.",BPH resistance,15,抗源鉴定与表型评价; 遗传定位、QTL与关联分析; 主效抗性基因与受体识别; 宿主-昆虫互作与效应子; 生长-防御权衡与育种转化,连锁/QTL/标记育种; 田间/产量/育种评价
36353600,2022,2021-2025,PeerJ,Evaluation and characterization of indigenous rice (Oryza sativa L.) landraces resistant to brown planthopper Nilaparvata lugens (Stål.) biotype 4.,BPH resistance,27,抗源鉴定与表型评价; 代谢、挥发物与结构防御; 宿主-昆虫互作与效应子; 生长-防御权衡与育种转化,田间/产量/育种评价
36361593,2022,2021-2025,International journal of molecular sciences,Introgression of a Complex Genomic Structural Variation Causes Hybrid Male Sterility in GJ Rice (Oryza sativa L.) Subspecies.,BPH resistance,1,抗源鉴定与表型评价; 主效抗性基因与受体识别; 生长-防御权衡与育种转化,田间/产量/育种评价
36407598,2022,2021-2025,Frontiers in plant science,Cytological observation and transcriptome analysis reveal dynamic changes of Rhizoctonia solani colonization on leaf sheath and different genes recruited between the resistant and susceptible genotypes in rice.,Broad planthopper,1,抗源鉴定与表型评价; 组学与系统网络; 基因编辑与功能验证,表达组学/多组学; 转基因/RNAi/突变体
36421713,2022,2021-2025,Biomolecules,Knockdown of Two Trehalase Genes by RNA Interference Is Lethal to the White-Backed Planthopper Sogatella furcifera (Horváth) (Hemiptera: Delphacidae).,Broad planthopper,1,基因编辑与功能验证,
