PMID,sent_id,year,journal,title,doi,text,gene,trait,ontology_id,ontology_type,confidence,evidence_code,source_db
38612510,41096733,2024,International journal of molecular sciences,Silencing an ATP-Dependent Caseinolytic Protease Proteolytic Subunit Gene Enhances the Resistance of Rice to Nilaparvata lugens.,,"We found the expression of a rice Clp proteolytic subunit gene, OsClpP6, was suppressed by infestation of BPH gravid females and mechanical wounding.",,,,,,,
38911983,41660056,2024,Frontiers in plant science,"Integration of molecular breeding and multi-resistance screening for developing a promising restorer line Guihui5501 with heavy grain, good grain quality, and endurance to biotic and abiotic stresses.",,"Both FH838 and SH527 serve as backbone parents in hybrid rice breeding, giving rise to numerous excellent restorer lines that have found extensive application in production.In this study, FH838 and SH527, two elite heavy-grain restorer lines, ASD7, a line with intermediate resistance to BPH, and Digu, an elite germplasm for broad-spectrum resistance to rice blast, were employed as parents for hybridization and multiple crossing.",,,,,,,
38015011,39542241,2024,Pest management science,Pyramiding BPH genes in rice maintains resistance against the brown planthopper under climate change.,,Pyramiding BPH genes in rice maintains resistance against the brown planthopper under climate change.,,,,,,,
39045218,42166977,2024,Frontiers in physiology,Role of nuclear protein Akirin in the modulation of female reproduction in Nilaparvata lugens (Hemiptera: Delphacidae).,,"The brown planthopper (BPH), Nilaparvata lugens, a major pest in rice production in Asia, possesses high reproductive capacity, a critical factor contributing to reduced rice yields.",,,,,,,
38601688,41035597,2024,Heliyon,Roles of herbivorous insects salivary proteins.,,"BtFTSP1, originating from a horizontal gene transfer event from fungi in B. tabaci, targets a defensive protein, NtFD1, disrupting NtFD1-NtFD1 interaction in Nicotiana tabacum, ultimately leading to NtFD1 degradation.In Laodelphax striatellus (Hemiptera, Delphacidae), nymphs treated with dsLsSP1-treated had lower rice plants intake than those treated with dsGFP-treated ones, indicating that LsSP1 in L. striatellus inhibited rice defense.Transcriptomic and proteomic analysis have revealed the presence of a mucin-like protein (NlMLP) secreted by BPH.",,,,,,,
39406243,42652504,2024,Current biology : CB,Rapid intracellular acidification is a plant defense response countered by the brown planthopper.,,The crucial role of NlCA for BPH infestation of rice suggests that NlCA is a promising target for chemical or trans-kingdom RNAi-based inactivation for BPH control strategies in plants.,,,,,,,
38612510,41096775,2024,International journal of molecular sciences,Silencing an ATP-Dependent Caseinolytic Protease Proteolytic Subunit Gene Enhances the Resistance of Rice to Nilaparvata lugens.,,"Moreover, we observed that gravid BPH females preferred to lay eggs on WT plants rather than on irClpP6 lines: the number of eggs laid on irClpP6-3 and irClpP6-4 plants was only 44.96% and 42.43%, respectively, of that laid on WT plants (Figure 3c,d).To further clarify the role of OsClpP6 in rice defense against BPH, we used RNA high-throughput sequencing to compare the expression patterns of genes in irClpP6-4 plants with those in WT plants in response to BPH infestation.",,,,,,,
38988632,41962668,2024,Frontiers in plant science,A key ABA biosynthetic gene OsNCED3 is a positive regulator in resistance to Nilaparvata lugens in Oryza sativa.,,"These results suggest that OsNCED3 expression is induced by BPH feeding and correlates with improved insect tolerance in a very short amount of time.The overexpression and silencing of OsNCED3 in rice resulted in multiple changes in the concentrations of flavonoids, soluble sugars, oxalic acid, and amino acids in the OsNCED3-OE and osnced3-RNAi rice lines.",,,,,,,
38576786,40940765,2024,Frontiers in plant science,Genome-wide association study and genomic prediction for resistance to brown planthopper in rice.,,"Considering that a larger sample size of 1,520 allowed for the detection of more association loci, we used WG data of 1,520 rice varieties for GP.To investigate the effect of marker number on prediction accuracy and determine the minimum number of markers required for predicting resistance to BPH, we selected 12 subsets with randomly distributed markers from the full set of 268,936 (268K) SNPs.",,,,,,,
38562566,40901766,2024,Frontiers in plant science,Combined miRNA and mRNA sequencing reveals the defensive strategies of resistant YHY15 rice against differentially virulent brown planthoppers.,,"Specifically, DEGs in R0 vs RY6 were mainly enriched in photosynthetic organisms and DNA replication proteins ( Figure 2F ;  Supplementary Figures 2A, B ), indicating that damage to the photosynthetic system occurs earlier in biotype Y BPH-infested rice.",,,,,,,
39555011,43065321,2024,Breeding science,Substitution mapping and characterization of brown planthopper resistance genes from traditional rice cultivar 'Rathu Heenati' (Oryza sativa L.).,,"Therefore, these two InDel markers, those co-segregated with BPH17 in this study, will be valuable for future MAS breeding of Japanese rice cultivars.According to, the virulence of BPH that has migrated into Japan has been strengthening year by year.",,,,,,,
38246245,39713243,2024,Journal of advanced research,Alanine metabolism mediates energy allocation of the brown planthopper to adapt to resistant rice.,,"Significantly differentially expressed substances were then subjected to KEGG pathway enrichment analysis using the MetPA tool (http://metpa.metabolomics.ca/), and only the enriched pathways (p < 0.05) were retained (hypergeometric test).One-day old BPH females were collected from P-TN1, P-ST, P-AD, and P-RA populations of IR36 resistant rice variety.",,,,,,,
39558244,43075643,2024,BMC plant biology,TMT-based quantitative proteomics analysis of defense responses induced by the Bph3 gene following brown planthopper infection in rice.,,"The gene Bph3, which plays a key role in enhancing the resistance of rice to BPHs, was initially identified in the rice variety Rathu Heenati.",,,,,,,
38246245,39713079,2024,Journal of advanced research,Alanine metabolism mediates energy allocation of the brown planthopper to adapt to resistant rice.,,"Throughout their extensive co-evolutionary history, rice has developed various defense mechanisms against BPH, resulting in the presence of over 30 BPH resistance genes in different rice varieties.",,,,,,,
38562566,40901575,2024,Frontiers in plant science,Combined miRNA and mRNA sequencing reveals the defensive strategies of resistant YHY15 rice against differentially virulent brown planthoppers.,,"In addition, microarray analyses of BPH-infested Rathu Heenati and TN1 rice underscore the importance of TFs and phytohormones in the defense response.MicroRNAs (miRNAs) are small (approximately 21 nt in length) regulatory RNAs produced through endonucleolytic processing of hairpin precursors. miRNAs regulate gene expression by binding to complementary sequences in mRNA molecules, resulting in degradation and/or translational inhibition.",,,,,,,
38988632,41962723,2024,Frontiers in plant science,A key ABA biosynthetic gene OsNCED3 is a positive regulator in resistance to Nilaparvata lugens in Oryza sativa.,,"(2022)'s article were found to align with the transcriptome data, and their expression patterns exhibited consistency, suggesting a positive impact on enhancing rice resistance against insects.The resistance of three rice lines (OsNCED3-OE, osnced3-RNAi, and WT) to BPH and the role of OsNCED3 in BPH tolerance was examined by monitoring physiological and biochemical parameters, changes in hormone content, and defense gene expression.",,,,,,,
39400920,42635040,2024,"Plant, cell & environment",The Threat of the Fall Armyworm to Asian Rice Production Is Amplified by the Brown Planthopper.,,"The females laid different numbers of eggs among the four treatments (LR test with GLMM, chi 2 = 16.74, df = 3, p < 0.001) (Figure 3b), with only few eggs on or near paper with uninfested rice plant odor, significantly less than on or near paper with uninfested maize odor and on or near paper with BPH-infested rice plant odor (both p < 0.05) (Figure 3b).To determine the key compounds induced by BPH infestation that affected the preference of female FAW moth, we conducted additional oviposition assays with each of the five volatile compounds that were significantly more emitted by BPH-infested as compared to uninfested rice plant (Figure 3c).",,,,,,,
38612510,41096738,2024,International journal of molecular sciences,Silencing an ATP-Dependent Caseinolytic Protease Proteolytic Subunit Gene Enhances the Resistance of Rice to Nilaparvata lugens.,,"Moreover, rice plants, after recognizing BPH infestation, can enhance rice resistance to BPH by decreasing the Clp system activity.",,,,,,,
38562566,40901552,2024,Frontiers in plant science,Combined miRNA and mRNA sequencing reveals the defensive strategies of resistant YHY15 rice against differentially virulent brown planthoppers.,,"Antagonistically, ET negatively regulates BPH resistance in rice.",,,,,,,
39555011,43065182,2024,Breeding science,Substitution mapping and characterization of brown planthopper resistance genes from traditional rice cultivar 'Rathu Heenati' (Oryza sativa L.).,,"The brown planthopper (BPH), Nilaparvata lugens Stal, is a destructive insect pest of rice and causes severe damage by feeding on phloem sap and transmitting serious viral diseases such as Rice grassy stunt virus (RGSV) and Rice ragged stunt virus (RRSV).",,,,,,,
38988632,41962563,2024,Frontiers in plant science,A key ABA biosynthetic gene OsNCED3 is a positive regulator in resistance to Nilaparvata lugens in Oryza sativa.,,"ABA can also increase tolerance to biotic stressors; for example, ABA improved the resistance of rice to fungi, bacteria and the brown planthopper (BPH; Nilaparvata lugens).",,,,,,,
38246245,39713129,2024,Journal of advanced research,Alanine metabolism mediates energy allocation of the brown planthopper to adapt to resistant rice.,,Long-term rearing of BPH individuals on these resistant rice varieties significantly increased their fitness.,,,,,,,
39400920,42635105,2024,"Plant, cell & environment",The Threat of the Fall Armyworm to Asian Rice Production Is Amplified by the Brown Planthopper.,,"N. lugens (BPH) population was maintained on a BPH-susceptible rice variety, Taichung Native 1 (TN1).",,,,,,,
38625904,41134255,2024,PloS one,Fine mapping and breeding application of two brown planthopper resistance genes derived from landrace rice.,,"The Brown planthopper (Nilaparvata lugens Stal; BPH) is known to cause significant damage to rice crops in Asia, and the use of host-resistant varieties is an effective and environmentally friendly approach for controlling BPH.",,,,,,,
38562566,40901726,2024,Frontiers in plant science,Combined miRNA and mRNA sequencing reveals the defensive strategies of resistant YHY15 rice against differentially virulent brown planthoppers.,,These results suggest that the miR396b-GRF8-F3H-flavonoid pathway was activated in biotype Y BPH- infested rice.,,,,,,,
39477626,42899545,2024,Pesticide biochemistry and physiology,"Area-wide survey and monitoring of insecticide resistance in the brown planthopper, Nilaparvata lugens (Stål), from 2020 to 2023 in China.",,"Most field populations of BPH maintained moderate resistance to chlorpyrifos and sulfoxaflor, and high resistance to pymetrozine by rice stem dipping method.",,,,,,,
39432737,42768585,2024,The Plant journal : for cell and molecular biology,Jasmonate-mediated polyamine oxidase 6 drives herbivore-induced polyamine catabolism in rice.,,"We discovered that infestation by the brown planthopper (BPH) disrupts PA homeostasis within the leaf sheaths of rice plants, which co-occurs with the upregulation of OsPAO6, a tissue-specific inducible, apoplast-localized enzyme that regulates the terminal catabolism of spermidine (Spd) and spermine.",,,,,,,
38625904,41134429,2024,PloS one,Fine mapping and breeding application of two brown planthopper resistance genes derived from landrace rice.,,"Most importantly, it significantly enhanced the resistance of rice to BPH, which is of great significance for insect-resistant rice breeding programs and safe rice production.Bph46 is a novel BPH resistance gene derived from the rice landrace accession CL45, which is finely mapped to a 450 kb region on chromosome 12.",,,,,,,
38562566,40901734,2024,Frontiers in plant science,Combined miRNA and mRNA sequencing reveals the defensive strategies of resistant YHY15 rice against differentially virulent brown planthoppers.,,"To determine the role of callose in the rice response to BPH infestation, the expression of genes related to callose synthesis and degradation was examined.",,,,,,,
38520013,40704748,2024,BMC biology,OsmiR319-OsPCF5 modulate resistance to brown planthopper in rice through association with MYB proteins.,,"Meanwhile, we identified a new member of the MYB family, OsMYB22, as a positive regulator of rice resistance to BPHs (Fig. 5D-I), although it might function through negatively regulating the flavonoid synthesis gene OsF3'H, which negatively regulates BPH resistance and positively regulates rice blast disease resistance.",,,,,,,
38520013,40704732,2024,BMC biology,OsmiR319-OsPCF5 modulate resistance to brown planthopper in rice through association with MYB proteins.,,"Thus, OsmiR319 negatively regulated BPH resistance, this character was repeatedly verified in several different genetic backgrounds of rice (Additional file 4).",,,,,,,
38891303,41608172,2024,"Plants (Basel, Switzerland)",OsRCI-1-Mediated GLVs Enhance Rice Resistance to Brown Planthoppers.,,"In this study, we found that the overexpression of the rice lipoxygenase gene OsRCI-1 increased the levels of cis-3-hexen-1-ol and cis-3-hexenal (Figure 1), therefore reducing the feeding and oviposition preferences of BPH but enhancing the attraction of A. nilaparvatae (Figure 4E).",,,,,,,
39684676,43367387,2024,International journal of molecular sciences,Recent Advances in Gene Mining and Hormonal Mechanism for Brown Planthopper Resistance in Rice.,,More than 70 BPH resistance genes/QTLs with wide distributions on nine chromosomes have been identified from rice and wild relatives.,,,,,,,
38246245,39713256,2024,Journal of advanced research,Alanine metabolism mediates energy allocation of the brown planthopper to adapt to resistant rice.,,"Subsequently, the genes contained in the screened gene modules were subjected to KEGG library-based pathway enrichment analysis using the hypergeometric test, in which the pathway with false discovery rate (FDR) lower than 0.05 (Benjamini and Hochberg adjustment), was considered to be significantly enriched.To search for potential biological markers in BPH adaptation to IR36 resistant rice variety, the significantly enriched KEGG pathways from the metabolomics and WGCNA-based transcriptomics results were initially subjected to an interaction analysis, yielding the shared pathways by both approaches.",,,,,,,
38562566,40901537,2024,Frontiers in plant science,Combined miRNA and mRNA sequencing reveals the defensive strategies of resistant YHY15 rice against differentially virulent brown planthoppers.,,"Additionally, callose deposition was enhanced in biotype Y BPH-infested rice seedlings.These findings provide comprehensive insights into the defense mechanisms of resistant rice plants against virulent BPH, and may potentially guide the development of insect-resistant rice varieties.Rice (Oryza sativa L.) was domesticated approximately 10,000 years ago in the lower Yangtze Valley in China.",,,,,,,
39555011,43065186,2024,Breeding science,Substitution mapping and characterization of brown planthopper resistance genes from traditional rice cultivar 'Rathu Heenati' (Oryza sativa L.).,,"Furthermore, BPH outbreaks in 2013 and 2019 in western and southwestern Japan led to substantial economic losses of 10.5 x 109 JPY in rice production in 2013 and comparable losses in 2019.For several decades, the improvement of host plant resistance in rice has been an effective and environmentally friendly approach to reducing BPH damage.",,,,,,,
39145425,42506143,2024,Plant biotechnology journal,Loss-of-function of LIGULELESS1 activates the jasmonate pathway and promotes maize resistance to corn leaf aphids.,,"In rice (Oryza sativa), two JA-deficient lines with knockout of ALLENE OXIDE CYCLASE (AOC) or MYC2 showed greater sensitivity to the brown planthopper (BPH, Nilaparvata lugens (Stal)) (Xu et al., ); likewise, ZmMYC2s were shown to bind directly to the promoters of benzoxazinoid (BXD) biosynthetic genes and promote defence against herbivores by inducing benzoxazinoid biosynthesis (Ma et al., ).Several quantitative trait loci (QTLs) associated with aphid resistance have been mapped in maize, for example by using the aphid-susceptible variety B73 and the aphid-resistant variety Mo17 (Betsiashvili et al., ).",,,,,,,
38520013,40704770,2024,BMC biology,OsmiR319-OsPCF5 modulate resistance to brown planthopper in rice through association with MYB proteins.,,"Rice seedlings were cultured in the phytotron in CAS Center for Excellence in Molecular Plant Sciences, with 30/24 +- 1C day/night temperature and 50-70% relative humidity, and a light/dark period of 14 h/10 h was used to culture rice seedlings.The BPH population was originally obtained from rice fields in Shanghai, China, and maintained on susceptible rice variety TN1 in a climate-controlled room at 26 +- 2  C, 12 h/12 h light/dark cycle, and 80% relative humidity.For OsMIR319a and OsMIR319b overexpression, fragments containing respective stem-loop structures of pri-OsmiR319a (286 bp) and pri-OsmiR319b (362 bp) respectively cloned into p130135SNOS vector using BamHI and KpnI double digestion.",,,,,,,
38562566,40901551,2024,Frontiers in plant science,Combined miRNA and mRNA sequencing reveals the defensive strategies of resistant YHY15 rice against differentially virulent brown planthoppers.,,"The SA pathway contributes to the immune response against piercing-sucking insects and is involved in Bph6-, Bph9-, Bph14-, and Bph29-mediated resistance in rice.",,,,,,,
38576786,40940826,2024,Frontiers in plant science,Genome-wide association study and genomic prediction for resistance to brown planthopper in rice.,,These findings hold great significance in guiding applications of genome selection towards developing durable BPH-resistant rice.The datasets presented in this study can be found in online repositories.,,,,,,,
38988632,41962718,2024,Frontiers in plant science,A key ABA biosynthetic gene OsNCED3 is a positive regulator in resistance to Nilaparvata lugens in Oryza sativa.,,RT-qPCR after BPH feeding showed that the expression of 8 genes was higher in OsNCED3-OE rice than in the WT and osnced3-RNAi lines.,,,,,,,
39254868,42546984,2024,TAG. Theoretical and applied genetics. Theoretische und angewandte Genetik,Current status of molecular rice breeding for durable and broad-spectrum resistance to major diseases and insect pests.,,"Here, we summarize all the R genes and QTLs conferring durable and broad-spectrum resistance in rice to fungal blast, bacterial leaf blight (BLB), and the brown planthopper (BPH) in molecular breeding.",,,,,,,
38988632,41962728,2024,Frontiers in plant science,A key ABA biosynthetic gene OsNCED3 is a positive regulator in resistance to Nilaparvata lugens in Oryza sativa.,,"one graphical summary model showed in  Figure 8 .Our results indicate that levels of defense compounds (flavonoids and OA) were highest in the OsNCED3-OE line, which was more resistant to BPH than WT and osnced3-RNAi rice.",,,,,,,
39341852,42584605,2024,Scientific reports,A time-course transcriptomic analysis reveals the key responses of a resistant rice cultivar to brown planthopper infestation.,,Breeding rice varieties containing resistance genes is the most economical and effective means of controlling BPH.,,,,,,,
38576786,40940642,2024,Frontiers in plant science,Genome-wide association study and genomic prediction for resistance to brown planthopper in rice.,,"However, there is no report of GP on BPH resistance, let alone study to explore the effects of these factors on rice resistance to BPH.In this study, the BPH resistance of 502 rice varieties was comprehensively evaluated, including resistance score, weight gain rate and honeydew excretion, and more BPH-resistant rice varieties were identified.",,,,,,,
39555011,43065300,2024,Breeding science,Substitution mapping and characterization of brown planthopper resistance genes from traditional rice cultivar 'Rathu Heenati' (Oryza sativa L.).,,"Hence, the resistance level conferred by qBPH3.1 against BPH feeding was high in 7-day-old seedlings but lower in 30-day-old seedlings.In the current rice cultivation in Japan, there are issues with reduction of grain yield and quality due to high temperature exposure during ripening period of Japanese cultivars.",,,,,,,
38891303,41608173,2024,"Plants (Basel, Switzerland)",OsRCI-1-Mediated GLVs Enhance Rice Resistance to Brown Planthoppers.,,"These findings suggest that elevated levels of green leaf volatiles (cis-3-hexen-1-ol and cis-3-hexenal) contribute to enhancing the direct and indirect resistance of rice against BPH.In summary, our study provides compelling evidence for the involvement of OsRCI-1 in regulating the release of GLVs including cis-3-hexenal and cis-3-hexen-1-ol in rice; OsRCI-1 is another LOX gene that contributes to both JA and GLV synthesis in rice as OsLOX1.",,,,,,,
39340817,42584423,2024,Plant biotechnology journal,Limonene enhances rice plant resistance to a piercing-sucking herbivore and rice pathogens.,,"Overexpression of TPS19 and TPS20 in rice plants enhanced resistance to R. solani and Xoo, while TPS19 and TPS20 knockout lines were more susceptible to the pathogens.The increased amount of (S)-limonene in rice plants inhibited BPH development while promoting the occurrence of striped stem borer (Chilo suppressalis, SSB).",,,,,,,
38337906,40051687,2024,"Plants (Basel, Switzerland)",Defense Regulatory Network Associated with circRNA in Rice in Response to Brown Planthopper Infestation.,,"As a result, the identification and molecular breeding of rice germplasms that possess BPH-resistance genes (referred to as Bph/bph genes) are regarded as the optimal approach for effectively controlling and managing BPH.",,,,,,,
39590459,43152408,2024,Insects,Functional Analysis of CPSF30 in Nilaparvata lugens Using RNA Interference Reveals Its Essential Role in Development and Survival.,,Previous studies on plant-mediated RNAi in rice for controlling BPH have reported significant reductions in survival rates of BPH when using dsRNA transgenic rice plants that introduced the ecdysone receptor (NlEcR) and salivary protein 1 (NlSP1) genes of BPH.,,,,,,,
39590466,43152674,2024,Insects,Identification and Functional Analysis of Three NlCstF Genes in Nilaparvata lugens.,,"For this study, the TN1 (Taichuang Native 1) variety of rice seedlings was used to feed the BPH.",,,,,,,
38337906,40051830,2024,"Plants (Basel, Switzerland)",Defense Regulatory Network Associated with circRNA in Rice in Response to Brown Planthopper Infestation.,,"BRs have been shown to promote rice susceptibility to BPH by modulating the SA and JA pathways, suggesting that these pathways might be triggered during IR56-BPH feedings to undermine rice defenses.In contrast, during the TN1-BPH (incompatible rice-BPH interaction), a multitude of cytokinin signaling-associated genes were identified, indicating roles in various abiotic stress stimuli.",,,,,,,
38911983,41660130,2024,Frontiers in plant science,"Integration of molecular breeding and multi-resistance screening for developing a promising restorer line Guihui5501 with heavy grain, good grain quality, and endurance to biotic and abiotic stresses.",,"The results underscored that GH5501 possessed a robust genetic foundation, contributing significantly to its outstanding field performance.As shown in  Table 2 , eight genes associated with resistance to biotic stressors conferred protection against rice blast, rice yellow mottle virus, rice stripe virus, and BPH.",,,,,,,
38337906,40051831,2024,"Plants (Basel, Switzerland)",Defense Regulatory Network Associated with circRNA in Rice in Response to Brown Planthopper Infestation.,,"For instance, the downregulated novel_circ_0000490 targeted a parental gene, A-type response regulator (OsRR9, Os11g04720), which is linked to stress-cytokinin interactions.Furthermore, during the upregulated IR-TN1-BPH group (incompatible interaction), genes encoding ethylene insensitive 3 domain-containing protein (OsEIL5, Os02g36510) and ethylene insensitive3-like 6 (OsEIL6, Os04g57050) were associated with jasmonate O-methyltransferase (Os04g57050), predicted targets of osa-miR396a/c/e-5p, and were involved in the rice-BPH interactions.",,,,,,,
39340817,42584485,2024,Plant biotechnology journal,Limonene enhances rice plant resistance to a piercing-sucking herbivore and rice pathogens.,,"The number of BPH on each plant was counted at 1, 2, 4, 8, 12, 24, and 48 h, then BPH was removed, and the number of eggs on each plant was counted under a microscope.To investigate the host selection preference of BPH, two single-planted rice plants (one ZH11 and one transgenic) were introduced to the H-tube olfactometer, respectively.",,,,,,,
39340817,42584430,2024,Plant biotechnology journal,Limonene enhances rice plant resistance to a piercing-sucking herbivore and rice pathogens.,,"Based on the higher emission of (S)-limonene in healthy rice (compared with other volatiles) (Lou et al., ; Sun et al., ; Xiao et al., ) and its association with herbivores infestation (Lin et al., ; Moreira et al., ; Yuan et al., ), we revealed the direct defensive role of limonene against BPH in rice plants.After BPH infestation, both the expression of OsTPS19 and OsTPS20 (limonene synthases genes) and the release of limonene were observed to increase (Figure 1), as previously reported by Xiao et al. and Xu et al. .",,,,,,,
38911334,41655063,2024,Molecular breeding : new strategies in plant improvement,"Identification and candidate analysis of a new brown planthopper resistance locus in an Indian landrace of rice, paedai kalibungga.",,"Previously, an indica landrace from India, Paedai kalibungga (PK), demonstrated high resistance to BPH in both in Wuhan and Fuzhou, China.",,,,,,,
38520013,40704764,2024,BMC biology,OsmiR319-OsPCF5 modulate resistance to brown planthopper in rice through association with MYB proteins.,,"However, in miR319OE plants, the sufficient amount of miR319 inhibited OsPCF5 gene, and therefore reduced OsPCF5 proteins and influenced its association with other MYB proteins, thus the activation of PAL genes was impacted, which made the plants more vulnerable to BPH (Fig. 7).We identified that OsmiR319/OsPCF5 module regulated BPH resistance in rice.",,,,,,,
39590466,43152667,2024,Insects,Identification and Functional Analysis of Three NlCstF Genes in Nilaparvata lugens.,,"However, the function of CstF complex genes in Hemiptera insects has not been studied.The brown planthopper (BPH, Nilaparvata lugens) has been a significant pest threatening rice production in Asia for several decades.",,,,,,,
38612510,41096734,2024,International journal of molecular sciences,Silencing an ATP-Dependent Caseinolytic Protease Proteolytic Subunit Gene Enhances the Resistance of Rice to Nilaparvata lugens.,,"Silencing OsClpP6 enhanced the level of BPH-induced jasmonic acid (JA), JA-isoleucine (JA-Ile), and ABA, which in turn promoted the production of BPH-elicited rice volatiles and increased the resistance of rice to BPH.",,,,,,,
38911983,41660213,2024,Frontiers in plant science,"Integration of molecular breeding and multi-resistance screening for developing a promising restorer line Guihui5501 with heavy grain, good grain quality, and endurance to biotic and abiotic stresses.",,"These results indicated that the GH5501 restorer line possessed broad-spectrum resistance against rice blast.Initially, Bph2 was described as a recessive gene.",,,,,,,
39769161,43545066,2024,International journal of molecular sciences,"Insight into Rice Resistance to the Brown Planthopper: Gene Cloning, Functional Analysis, and Breeding Applications.",,"This review provides a comprehensive overview of the current understanding of rice resistance to the brown planthopper (BPH), a major pest that poses significant threats to rice production through direct feeding damage and by transmitting viruses such as Rice grassy stunt virus (RGSV) and Rice ragged stunt virus (RRSV).",,,,,,,
38562566,40901747,2024,Frontiers in plant science,Combined miRNA and mRNA sequencing reveals the defensive strategies of resistant YHY15 rice against differentially virulent brown planthoppers.,,"YHY15 rice is highly resistant to biotype 1 BPH and susceptible to biotype Y BPH, which is in accordance with previous reports.The BPH-resistance gene Bph15 has been widely applied in rice breeding programs, although the molecular mechanisms underlying Bph15-mediated resistance remain unclear.",,,,,,,
38625904,41134417,2024,PloS one,Fine mapping and breeding application of two brown planthopper resistance genes derived from landrace rice.,,"Bph3 from Rathu Heenati, consisting of three lectin receptor kinase genes OsLecRK1-OsLecRK3, is located on the plasma membrane and collaborates to offer extensive and long-lasting insect resistance in rice. qRT-PCR analysis indicated that LOC_Os11g29090 and LOC_Os11g29110 showed significant differences in expression levels between CL48 and KW after BPH treatment.",,,,,,,
38562566,40901543,2024,Frontiers in plant science,Combined miRNA and mRNA sequencing reveals the defensive strategies of resistant YHY15 rice against differentially virulent brown planthoppers.,,"To date, approximately 40 major BPH resistance genes have been identified in cultivated and wild rice species.",,,,,,,
39400920,42635096,2024,"Plant, cell & environment",The Threat of the Fall Armyworm to Asian Rice Production Is Amplified by the Brown Planthopper.,,"By identifying BPH-induced rice volatiles that are particularly attractive to FAW females, as well as a repellent volatile, this study can also be the basis for the development of plant odor-based FAW control strategies.Rice (Oryza sativa, cultivar Minghui63) seeds were cultivated in a controlled environment at a constant temperature of 27 +- 3 C, relative humidity of 65 +- 10% RH (relative humidity) and a photoperiod of 16:8 h L:D (light: dark).",,,,,,,
39406243,42652501,2024,Current biology : CB,Rapid intracellular acidification is a plant defense response countered by the brown planthopper.,,"Next, we produced rice plants expressing the ratiometric pH sensor pHusion and found that NlCA-RNAi BPH induced rapid intracellular acidification of rice cells during feeding.",,,,,,,
38562566,40901717,2024,Frontiers in plant science,Combined miRNA and mRNA sequencing reveals the defensive strategies of resistant YHY15 rice against differentially virulent brown planthoppers.,,It has been reported that miR156 negatively regulates BPH resistance in rice by altering the expression of genes related to JA biosynthesis and signaling.,,,,,,,
39590466,43152705,2024,Insects,Identification and Functional Analysis of Three NlCstF Genes in Nilaparvata lugens.,,"To simultaneously silence the expression of the three NlCstF genes, a mixture of dsRNAs (dsNlCstF(50+64+77)) was prepared by combining equal amounts of dsNlCstF50, dsNlCstF64, and dsNlCstF77, maintaining a concentration of 1 mug/muL, similar to that of the single gene dsRNAs.To investigate the effects of RNAi targeting NlCstF genes on the survival of BPH, 50-60 third-instar nymphs per biological replicate were injected with dsRNAs and subsequently reared on 35-day-old TN1 rice seedlings.",,,,,,,
38891303,41608135,2024,"Plants (Basel, Switzerland)",OsRCI-1-Mediated GLVs Enhance Rice Resistance to Brown Planthoppers.,,OsRCI-1 is also reported to be involved in BPH-induced JA bursts and plays a positive role in rice defense against BPH.The biosynthesis of GLVs is orchestrated through the oxygenation of acyl groups by pathway-specific lipoxygenases; subsequent cleavage reactions facilitated by hydroperoxide lyases contribute to the formation of these characteristic volatile compounds.,,,,,,,
38565704,40908898,2024,Planta,Rice physical defenses and their role against insect herbivores.,,"According to Zhang et al., regulated genes related to BPH attack are engaged in the synthesis of lignin and flavonoids, which demonstrates the post herbivory induction of lignin and its function as a physical barrier against important sucking pests in rice.",,,,,,,
38891303,41608118,2024,"Plants (Basel, Switzerland)",OsRCI-1-Mediated GLVs Enhance Rice Resistance to Brown Planthoppers.,,"In a previous study, we found that the overexpression of OsRCI-1 reduced the colonization by the rice brown planthopper (BPH, Nilaparvata lugens) but increased the attractiveness to the egg parasitoid Anagrus nilaparvatae compared to wild-type (WT) plants.",,,,,,,
38576786,40940628,2024,Frontiers in plant science,Genome-wide association study and genomic prediction for resistance to brown planthopper in rice.,,Genome-wide association study (GWAS) is another strategy to identify genes associated with resistance to BPH in natural population of rice.,,,,,,,
38911983,41660214,2024,Frontiers in plant science,"Integration of molecular breeding and multi-resistance screening for developing a promising restorer line Guihui5501 with heavy grain, good grain quality, and endurance to biotic and abiotic stresses.",,"However, Murai et al. challenged this notion, reporting Bph2 as a dominant gene through genetic analysis of a segregating population of Norin-PL4 crossed with Tsukushibare, a susceptible japonica cultivar.",,,,,,,
38562566,40901564,2024,Frontiers in plant science,Combined miRNA and mRNA sequencing reveals the defensive strategies of resistant YHY15 rice against differentially virulent brown planthoppers.,,"Rearing biotype 1 BPH on resistant rice variety YHY15 (carrying Bph15) for several years resulted in the development of highly-virulent biotype Y BPH, which are able to overcome resistance conferred by Bph15.",,,,,,,
39555011,43065175,2024,Breeding science,Substitution mapping and characterization of brown planthopper resistance genes from traditional rice cultivar 'Rathu Heenati' (Oryza sativa L.).,,"A traditional rice cultivar, 'Rathu Heenati', has durable BPH resistance due to multiple resistance genes (including BPH3 and BPH17) and quantitative trait loci (QTLs).",,,,,,,
38562566,40901783,2024,Frontiers in plant science,Combined miRNA and mRNA sequencing reveals the defensive strategies of resistant YHY15 rice against differentially virulent brown planthoppers.,,"Notably, these miRNA-mediated responses only occurred in rice infested with biotype Y BPH, which suggests that they may contribute to the differential resistance of rice against BPH populations with varying levels of virulence.Finally, research suggests that numerous TFs are involved in the rice response to BPH infestation.",,,,,,,
